Imaynalla kachkanki?,How are you?
Waliqlla kachkani.,I'm good.
Qamrí?,And you?
Ñuqapis waliqllataq kachkani.,"I'm good, too."
Payrí?,And him?
Paypis waliqllataq kachkan.,"He's good, too."
Imataq sutiyki?,What's your name?
Sutiyqa Robert.,My name is Robert.
Qampatarí?,And yours?
Sutiyqa Pablo.,My name is Pablo.
"Paypatarí, imataq sutin?","And her, what's her name?"
Sutinqa Maria.,Her name is Maria.
Maymantataq kanki?,Where are you from?
Boliviamanta kani.,I'm from Bolivia.
Qamrí maymantataq kanki?,"And you, where are you from?"
Istadus Unidusmanta kani.,I'm from USA.
"Payrí, maymantataq?","And her, where is she from?"
Payqa Texasmanta.,She's from Texas.
Mamay españolta yachakun.,My mom learns Spanish.
Ñuqa runasimita yachakuchkani.,I'm learning Quechua.
Imatataq ñawirinki?,What do you read?
Imatataq ñawirichkan?,What is he reading?
Qam inglesta parlanki.,You speak English.
Awichata watuykuchkani.,I'm visiting Grandma.
Masiy awichuyta tinkun.,My friend meets my grandpa.
